立案时间,火警地址,火警类型,所属大队,所属街道,实/虚警,所属队站,备注内容,微站,微站调派时间,微站出动时间,微站到场时间,微站出动用时,中队到场时间,微站出水情况,微站处置,建筑物内/外,中队出动时间
4/1/2025 9:50,浦东新区 航头镇 航梅路526弄78支弄（ 聚航苑）24号3楼（祭扫）（误报）（到场未处置）,居民,三林大队（六大队）,航头镇,虚警,航头站,楼道内烧祭祀,航南微站,4/1/2025 9:50,4/1/2025 9:51,4/1/2025 9:58,30.0,4/1/2025 9:56,否,了解情况,内,4/1/2025 9:51
4/1/2025 1:38,浦东新区 丁香路1399弄30号,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,现场锅子烧干，无着火冒烟,钦洋微站,4/1/2025 1:39,4/1/2025 1:41,4/1/2025 1:46,96.0,4/1/2025 1:48,否,了解情况,内,4/1/2025 1:38
3/31/2025 23:06,浦东新区 张江镇 盛夏路1107弄玉兰香苑68号2楼(驻防车出动)（误报）,居民,川沙大队（三大队）,张江镇,虚警,张江站,卫生间内浴霸短路冒烟,玉兰香苑微站,3/31/2025 23:07,3/31/2025 23:08,3/31/2025 23:10,46.0,3/31/2025 23:16,否,警戒,内,3/31/2025 23:07
3/31/2025 21:51,浦东新区 张江镇 百业路环科路口东侧200米河边（祭扫）（居民处置）,杂物,川沙大队（三大队）,张江镇,实警,张江站,室外烧祭祀品,孙建微站,3/31/2025 21:52,3/31/2025 21:53,3/31/2025 21:59,71.0,3/31/2025 22:02,否,了解情况,外,3/31/2025 21:51
3/31/2025 20:22,浦东新区 周浦镇 康沈路 靠近 周祝公路口（EB）（误报）,车辆（电瓶车）,三林大队（六大队）,周浦镇,虚警,周浦站,室外电瓶车烧控制器,韵涛路微站,3/31/2025 20:23,3/31/2025 20:24,3/31/2025 20:28,29.0,3/31/2025 20:33,否,警戒,外,3/31/2025 20:22
3/31/2025 18:09,浦东新区 泥城镇 两港大道 靠近 玉宇路（消防处置）（到场处置）,杂物,临港大队（九大队）,泥城镇,实警,芦潮港站,室外烧杂草,泥城微站,3/31/2025 18:11,3/31/2025 18:12,3/31/2025 18:19,96.0,3/31/2025 18:24,是,堵截,外,3/31/2025 18:09
3/31/2025 13:08,浦东新区 惠南镇 育海路88弄(香桂园)9号6楼（祭扫）（误报）（到场未处置）,居民,惠南大队（八大队）,惠南镇,实警,惠南站,楼道内烧祭祀品,黄路村微站,3/31/2025 13:09,3/31/2025 13:11,3/31/2025 13:14,120.0,3/31/2025 13:25,否,了解情况,内,3/31/2025 13:08
3/31/2025 11:07,浦东新区 金杨新村街道 银山路370弄(金杨新村八街坊)3号2002室（微站处置）（到场处置）,居民,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,居民家中烧电线,枣庄微站,3/31/2025 11:09,3/31/2025 11:09,3/31/2025 11:14,54.0,3/31/2025 11:17,是,堵截,内,3/31/2025 11:07
3/31/2025 10:22,浦东新区  曹路镇 金钻路398弄金群苑3号15楼北侧阳台（驻防车出动）（居民处置）（到场处置）,居民,外高桥大队（五大队）,曹路镇,实警,曹路站,阳台上烧杂物,市场路微站,3/31/2025 10:23,3/31/2025 10:25,3/31/2025 10:30,78.0,3/31/2025 10:30,是,堵截,内,3/31/2025 10:23
3/31/2025 10:03,浦东新区 高桥镇 杨高北路446弄东街名庭41号(高桥镇东街居民会)（消防处置）（到场处置）,地下空间,保税大队（四大队）,高桥镇,实警,高桥站,地下杂物间内烧杂物,高桥老街微站,3/31/2025 10:05,3/31/2025 10:05,3/31/2025 10:08,48.0,3/31/2025 10:12,是,堵截,内,3/31/2025 10:04
3/31/2025 9:52,浦东新区 张江镇 盛夏路1107弄玉兰香苑三期10号502室（误报）（到场未处置）（祭祀）,居民,川沙大队（三大队）,张江镇,虚警,张江站,烧祭祀品,龚卢路微站,3/31/2025 9:53,3/31/2025 9:55,3/31/2025 10:00,98.0,3/31/2025 10:04,否,了解情况,内,3/31/2025 9:53
3/31/2025 1:56,浦东新区 康桥镇 康安路567弄7号楼102室（驻防车出动）（误报）,居民,三林大队（六大队）,康桥镇,虚警,永泰站,烧锅子,康花微站,3/31/2025 1:57,3/31/2025 1:58,3/31/2025 2:02,48.0,3/31/2025 2:17,否,了解情况,内,3/31/2025 1:57
3/31/2025 1:45,浦东新区 民乐城秀园西苑9号1801室,居民,惠南大队（八大队）,惠南镇,虚警,祝桥站,烧锅子,五角农贸微站,3/31/2025 1:46,3/31/2025 1:47,3/31/2025 1:55,24.0,3/31/2025 1:55,否,了解情况,内,3/31/2025 1:46
3/31/2025 0:04,浦东新区 航头镇 航兴北路75号民房（误报）（到场未处置）,居民,三林大队（六大队）,航头镇,虚警,航头站,烧锅子,航南微站,3/31/2025 0:05,3/31/2025 0:06,3/31/2025 0:08,18.0,3/31/2025 0:11,否,了解情况,内,3/31/2025 0:05
3/30/2025 22:45,浦东新区 合庆镇红星村三队姚家宅58号（误报）（到场未处置）,居民,川沙大队（三大队）,合庆镇,虚警,川沙站,电表箱跳闸，无着火冒烟情况,瑞庆微站,3/30/2025 22:46,3/30/2025 22:48,3/30/2025 22:52,126.0,3/30/2025 22:58,否,了解情况,内,3/30/2025 22:45
3/30/2025 22:29,浦东新区 周浦镇 年家浜路501弄(菱翔苑)3号202室（误报）,居民,三林大队（六大队）,周浦镇,虚警,周浦站,无着火冒烟情况,半岛微站,3/30/2025 22:30,3/30/2025 22:32,3/30/2025 22:38,109.0,3/30/2025 22:33,否,了解情况,外,3/30/2025 22:30
3/30/2025 22:16,浦东新区 高行镇 俱进路285弄27号301室（误报）,居民,保税大队（四大队）,高行镇,虚警,五洲站,烧锅子,高行微站,3/30/2025 22:17,3/30/2025 22:17,3/30/2025 22:19,20.0,3/30/2025 22:31,否,了解情况,内,3/30/2025 22:17
3/30/2025 19:40,浦东新区 康桥镇 沪南公路 靠近 秀沈路 周康一村北门（EB） （居民处置）（到场处置）,车辆（电瓶车）,三林大队（六大队）,康桥镇,实警,周浦站,室外烧一辆电瓶车,半岛微站,3/30/2025 19:41,3/30/2025 19:41,3/30/2025 19:47,8.0,3/30/2025 19:50,否,警戒,外,3/30/2025 19:41
3/30/2025 17:41,浦东新区 惠南镇 听达路185弄丽水雅苑北苑20号1303室（燃烧物燃尽）（到场处置）,居民,惠南大队（八大队）,惠南镇,实警,祝桥站,厨房锅子着火,五角农贸微站,3/30/2025 17:43,3/30/2025 17:43,3/30/2025 17:56,27.0,3/30/2025 17:49,否,警戒,内,3/30/2025 17:42
3/30/2025 14:44,浦东新区 南码头街道 浦三路817弄11号401室（误报）,居民,世博大队（七大队）,南码头路街道,虚警,临沂站,空调外机短路,临沂六村微站,3/30/2025 14:45,3/30/2025 14:46,3/30/2025 14:55,96.0,3/30/2025 14:54,否,了解情况,外,3/30/2025 14:44
3/30/2025 14:26,浦东新区 张江镇 益江路126弄(玉兰香苑)一期B组97号4楼（祭扫）（居民处置）,居民,川沙大队（三大队）,张江镇,虚警,张江站,楼道烧祭祀,玉兰香苑微站,3/30/2025 14:27,3/30/2025 14:27,3/30/2025 14:30,21.0,3/30/2025 14:38,否,了解情况,内,3/30/2025 14:27
3/30/2025 13:04,浦东新区 曹路镇 上川路1468弄6号楼（祭扫）（经核实无需消防处置）,居民,外高桥大队（五大队）,曹路镇,虚警,曹路站,楼道烧祭祀,上川路微站,3/30/2025 13:05,3/30/2025 13:06,3/30/2025 13:08,34.0,3/30/2025 13:13,否,了解情况,内,3/30/2025 13:05
3/30/2025 12:06,浦东新区 浦兴路街道 金杨路1055弄(金东名苑)2号3楼（微站处置）（到场处置）,居民,外高桥大队（五大队）,浦兴路街道,实警,庆宁站,楼道烧鞋架,张杨北路微站,3/30/2025 12:07,3/30/2025 12:07,3/30/2025 12:12,20.0,3/30/2025 12:17,是,堵截,内,3/30/2025 12:07
3/30/2025 11:38,浦东新区 浦兴路街道 凌河路618弄 正旺苑72号501室（祭扫）(驻防车出动）（居民处置）,居民,外高桥大队（五大队）,浦兴路街道,虚警,庆宁站,楼道烧祭祀,东陆路微站,3/30/2025 11:39,3/30/2025 11:39,3/30/2025 11:43,30.0,3/30/2025 11:46,否,了解情况,内,3/30/2025 11:38
3/30/2025 11:26,浦东新区 高行镇 双桥路1139弄3号1楼(东源名都)（祭扫）（经核实无需消防处置）,居民,保税大队（四大队）,高行镇,虚警,五洲站,楼道烧祭祀,华高微站,3/30/2025 11:27,3/30/2025 11:28,3/30/2025 11:29,38.0,3/30/2025 11:42,否,了解情况,内,3/30/2025 11:27
3/30/2025 11:18,浦东新区 高桥镇 石家街89号4楼（居民处置）（到场处置）,居民,保税大队（四大队）,高桥镇,实警,高桥站,居民家阳台洗衣机着火,高桥老街微站,3/30/2025 11:20,3/30/2025 11:20,3/30/2025 11:22,19.0,3/30/2025 11:24,否,警戒,内,3/30/2025 11:19
3/30/2025 11:07,浦东新区 航头镇 航瑞路388弄沉香苑11号9楼（驻防车出动）（误报）（到场未处置）,居民,三林大队（六大队）,航头镇,虚警,航头站,楼道烧祭祀,沈庄微站,3/30/2025 11:08,3/30/2025 11:08,3/30/2025 11:16,12.0,3/30/2025 11:16,否,了解情况,内,3/30/2025 11:08
3/30/2025 10:47,浦东新区 川沙新镇 新德路908弄36号1楼(合欢公寓)（祭扫）（误报）（到场未处置）,杂物,川沙大队（三大队）,川沙新镇,虚警,川沙站,室外烧祭祀,城厢南市微站,3/30/2025 10:49,3/30/2025 10:50,3/30/2025 10:57,106.0,3/30/2025 11:02,否,警戒,外,3/30/2025 10:48
3/30/2025 10:37,浦东新区 祝桥镇 盐仓老街 育新路30号（消防处置）（到场处置）,杂物,惠南大队（八大队）,祝桥镇,实警,祝桥站,室外烧杂物,盐仓微站,3/30/2025 10:38,3/30/2025 10:39,3/30/2025 10:52,40.0,3/30/2025 10:43,否,警戒,外,3/30/2025 10:39
3/30/2025 10:06,浦东新区 唐镇镇 唐安路1047弄12号（祭扫）（误报）（到场未处置）,居民,川沙大队（三大队）,唐镇,虚警,唐镇站,楼道烧祭祀,龚卢路微站,3/30/2025 10:07,3/30/2025 10:09,3/30/2025 10:15,85.0,3/30/2025 10:11,否,了解情况,内,3/30/2025 10:06
3/30/2025 10:02,浦东新区 祝桥镇  海霞路685弄41号 靠近 川南奉公路（祭扫）（误报）（到场未处置）,居民,惠南大队（八大队）,祝桥镇,虚警,江镇站,楼道烧祭祀,祝桥专职队,3/30/2025 10:04,3/30/2025 10:05,3/30/2025 10:09,54.0,3/30/2025 10:12,否,了解情况,内,3/30/2025 10:03
3/30/2025 9:54,浦东新区 张江镇 益江路126弄 玉兰香苑 83号3楼（祭扫）（误报）（到场未处置）,居民,川沙大队（三大队）,张江镇,虚警,张江站,楼道烧祭祀,玉兰香苑微站,3/30/2025 9:55,3/30/2025 9:56,3/30/2025 9:59,49.0,3/30/2025 10:06,否,了解情况,内,3/30/2025 9:55
3/30/2025 9:35,浦东新区 康桥镇 环桥路1136弄3号楼门口（祭扫）（误报）（到场未处置）,杂物,三林大队（六大队）,康桥镇,虚警,周浦站,楼道烧祭祀,沿南村微站,3/30/2025 9:37,3/30/2025 9:38,3/30/2025 9:44,76.0,3/30/2025 9:57,否,了解情况,内,3/30/2025 9:36
3/30/2025 9:20,浦东新区 新场镇祝桥村一灶160号（居民处置）（到场未处置）,杂物,惠南大队（八大队）,新场镇,实警,航头站,室外空油桶着火,祝桥村微站,3/30/2025 9:21,3/30/2025 9:22,3/30/2025 9:31,46.0,3/30/2025 9:34,否,了解情况,外,3/30/2025 9:21
3/29/2025 21:11,浦东新区 惠南镇 下盐路872-2号 陆楼多功能活动中心（其他社会力量处置）（到场未处置）,单位,惠南大队（八大队）,惠南镇,实警,祝桥站,室外空地上烧垃圾桶,五角农贸微站,3/29/2025 21:13,3/29/2025 21:12,3/29/2025 21:17,-7.0,3/29/2025 21:20,否,了解情况,外,3/29/2025 21:12
3/29/2025 15:47,浦东新区 康桥镇 杨高南路 靠近 S20（消防处置）（到场处置）（祭扫）,杂物,三林大队（六大队）,康桥镇,实警,永泰站,室外烧垃圾,三林专职队,3/29/2025 15:48,3/29/2025 15:49,3/29/2025 15:57,45.0,3/29/2025 15:58,是,堵截,外,3/29/2025 15:48
3/29/2025 15:17,浦东新区 曹路镇民建村南邵家宅15号农村自建房（微站处置）（到场未处置）,居民,外高桥大队（五大队）,曹路镇,实警,曹路站,自建房厨房油烟机着火,民区路微站,3/29/2025 15:18,3/29/2025 15:19,3/29/2025 15:21,30.0,3/29/2025 15:30,否,警戒,内,3/29/2025 15:18
3/29/2025 14:20,浦东新区 周浦镇 秀浦路800弄（误报）（到场未处置）,居民,三林大队（六大队）,康桥镇,虚警,周浦站,无着火冒烟情况,半岛微站,3/29/2025 14:21,3/29/2025 14:22,3/29/2025 14:30,55.0,3/29/2025 14:49,否,了解情况,外,3/29/2025 14:21
3/29/2025 12:21,浦东新区 曹路镇 东川公路1号龙王庙內（误报）（到场未处置）,单位,外高桥大队（五大队）,曹路镇,虚警,曹路站,无着火冒烟情况,虹星路微站,3/29/2025 12:23,3/29/2025 12:24,3/29/2025 12:29,17.0,3/29/2025 12:26,否,了解情况,内,3/29/2025 12:22
3/29/2025 11:13,浦东新区 周浦镇 周阳路258弄汇福家园祥和里西区3号楼 楼道内（祭扫）（误报）（到场未处置）,居民,三林大队（六大队）,周浦镇,虚警,周浦站,楼道烧祭祀,宏南微站,3/29/2025 11:16,3/29/2025 11:16,3/29/2025 11:19,10.0,3/29/2025 11:28,否,警戒,内,3/29/2025 11:14
3/29/2025 11:04,浦东新区 川沙新镇 新川路640弄13号3楼（祭扫）（经核实无需消防处置）,居民,川沙大队（三大队）,川沙新镇,虚警,川沙站,楼道烧祭祀,城厢南市微站,3/29/2025 11:05,3/29/2025 11:06,3/29/2025 11:13,11.0,3/29/2025 11:17,否,了解情况,内,3/29/2025 11:04
3/29/2025 11:00,浦东新区  周浦镇 周阳路259弄祥和里13号1702室（祭扫）（居民处置）,居民,三林大队（六大队）,周浦镇,虚警,周浦站,楼道烧祭祀,宏南微站,3/29/2025 11:01,3/29/2025 11:02,3/29/2025 11:07,13.0,3/29/2025 11:16,否,了解情况,内,3/29/2025 11:00
3/29/2025 10:59,浦东新区 花木街道 牡丹路225弄1号4楼（祭扫）（经核实无需消防处置）,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,楼道烧祭祀,牡丹微站,3/29/2025 11:00,3/29/2025 11:00,3/29/2025 11:01,9.0,3/29/2025 11:06,否,了解情况,内,3/29/2025 10:59
3/29/2025 10:47,浦东新区 唐镇镇 唐镇路127弄唐人苑44号5楼（祭扫）（居民处置）,居民,川沙大队（三大队）,唐镇,虚警,唐镇站,楼道烧祭祀,龚卢路微站,3/29/2025 10:47,3/29/2025 10:49,3/29/2025 10:54,102.0,3/29/2025 10:54,否,警戒,内,3/29/2025 10:47
3/29/2025 10:42,浦东新区 东明路街道 环林东路271弄金禾新苑10号10楼楼道内（祭扫）（居民处置）,居民,三林大队（六大队）,东明路街道,虚警,林南站,楼道烧祭祀,东明路微站,3/29/2025 10:43,3/29/2025 10:44,3/29/2025 10:50,75.0,3/29/2025 10:50,否,警戒,内,3/29/2025 10:43
3/29/2025 10:37,浦东新区 川沙新镇 华夏二路1500弄心圆西苑35号后面11楼（祭扫）（居民处置）,居民,川沙大队（三大队）,川沙新镇,虚警,川沙站,楼道烧祭祀,长丰社区微站,3/29/2025 10:38,3/29/2025 10:40,3/29/2025 10:48,92.0,3/29/2025 10:54,否,了解情况,内,3/29/2025 10:37
3/29/2025 10:30,浦东新区 张江镇 申城佳城一期A块38号9楼 楼道上（祭扫）（经核实无需消防处置）,居民,川沙大队（三大队）,张江镇,虚警,张江站,楼道烧祭祀,孙建微站,3/29/2025 10:31,3/29/2025 10:34,3/29/2025 10:38,147.0,3/29/2025 10:46,否,了解情况,内,3/29/2025 10:31
3/29/2025 10:12,浦东新区 浦兴路街道 凌河路354弄(东陆新村二街坊)51号5楼（祭扫）（居民处置）,居民,外高桥大队（五大队）,浦兴路街道,虚警,庆宁站,烧祭祀,东陆路微站,3/29/2025 10:15,3/29/2025 10:17,3/29/2025 10:18,144.0,3/29/2025 10:22,否,警戒,内,3/29/2025 10:12
3/29/2025 10:11,浦东新区 花木街道 严镇路96弄由由六村24号5楼楼道（祭扫）（居民处置）,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,楼道烧祭祀,由由微站,3/29/2025 10:12,3/29/2025 10:13,3/29/2025 10:15,54.0,3/29/2025 10:21,否,警戒,内,3/29/2025 10:11
3/29/2025 10:04,浦东新区 花木街道 牡丹路145弄牡丹小区35号1楼（祭扫）（居民处置）,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,楼道烧祭祀,牡丹微站,3/29/2025 10:06,3/29/2025 10:07,3/29/2025 10:09,61.0,3/29/2025 10:11,否,警戒,内,3/29/2025 10:04
3/29/2025 9:56,浦东新区 浦兴路街道 东陆路1268弄东二小区40号3楼（祭扫）（居民处置）,居民,外高桥大队（五大队）,浦兴路街道,虚警,庆宁站,楼道烧纸板,东陆路微站,3/29/2025 9:58,3/29/2025 10:00,3/29/2025 10:07,81.0,3/29/2025 10:06,否,警戒,内,3/29/2025 9:57
3/29/2025 9:40,浦东新区 三林镇南阜村60号（消防处置）（到场处置）,居民,三林大队（六大队）,三林镇,实警,林南站,自建房杂物间杂物着火,三林专职队,3/29/2025 9:41,3/29/2025 9:42,3/29/2025 9:48,29.0,3/29/2025 9:47,否,警戒,内,3/29/2025 9:40
3/29/2025 9:04,浦东新区 川沙新镇 运盐河路 妙虹新苑50号1104室（祭扫）（居民处置）（到场未处置）,居民,川沙大队（三大队）,川沙新镇,虚警,川沙站,楼道烧祭祀,园区微站,3/29/2025 9:06,3/29/2025 9:07,3/29/2025 9:15,60.0,3/29/2025 9:13,否,警戒,内,3/29/2025 9:04
3/29/2025 8:49,浦东新区 花木街道 白杨路199弄(大唐盛世花园)17号501室（误报）,居民,陆家嘴大队（一大队）,花木街道,虚警,塘东站,烧锅子,牡丹微站,3/29/2025 8:50,3/29/2025 8:51,3/29/2025 8:56,45.0,3/29/2025 9:01,否,了解情况,内,3/29/2025 8:50
3/29/2025 8:33,浦东新区 金杨新村街道 浦东大道2288号滨江喜来登酒店（误报）,单位,陆家嘴大队（一大队）,金杨新村街道,虚警,庆宁站,是酒店排放蒸汽,黄山微站,3/29/2025 8:35,3/29/2025 8:36,3/29/2025 8:40,62.0,3/29/2025 8:43,否,了解情况,内,3/29/2025 8:34
3/29/2025 4:56,浦东新区 张江镇 陈水关路55号安琦三违宿舍（EB）(驻防车出动)（误报）（到场未处置）,车辆（电瓶车）,川沙大队（三大队）,张江镇,虚警,张江站,室外电瓶车短路,孙建微站,3/29/2025 4:58,3/29/2025 4:59,3/29/2025 5:04,66.0,3/29/2025 5:05,否,监护,外,3/29/2025 4:57
3/29/2025 0:49,浦东新区  合庆镇 环庆南路239弄庆利苑（误报）（到场未处置）,居民,川沙大队（三大队）,合庆镇,虚警,川沙站,地下车库内电表箱跳闸，无着火情况,跃丰微站,3/29/2025 0:50,3/29/2025 0:51,3/29/2025 0:54,87.0,3/29/2025 1:00,否,监护,,3/29/2025 0:49
3/28/2025 22:29,浦东新区 张江镇 中科路2459号停车场（驻防车出动）（误报）（到场未处置）,车辆,川沙大队（三大队）,张江镇,虚警,张江站,车辆引擎盖有过热情况,玉兰香苑微站,3/28/2025 22:31,3/28/2025 22:32,3/28/2025 22:37,103.0,3/28/2025 22:39,否,了解情况,外,3/28/2025 22:30
3/28/2025 19:54,浦东新区 陆家嘴街道 银城中路 摩根大通 蔚来充电站（误报）（到场未处置）,电线,陆家嘴大队（一大队）,陆家嘴街道,虚警,梅园站,现场是水蒸气误报，无起火,明珠微站,3/28/2025 19:54,3/28/2025 19:56,3/28/2025 20:04,110.0,3/28/2025 20:05,否,了解情况,外,3/28/2025 19:55
3/28/2025 19:28,浦东新区 唐镇镇 锦绣东路 靠近 顾唐路口西南方向50米（微站处置）（到场未处置）,单位,川沙大队（三大队）,唐镇,实警,曹路站,室外蔬菜大棚起火,新虹村微站,3/28/2025 19:30,3/28/2025 19:30,3/28/2025 19:35,9.0,3/28/2025 20:04,是,出水处置,外,3/28/2025 19:29
3/28/2025 18:03,浦东新区 北蔡镇 北艾路1660弄大华锦绣华城第二街区19号2楼（误报）（到场未处置）,居民,三林大队（六大队）,北蔡镇,虚警,塘东站,居民家中的浴霸灯未关，误报,华绣路微站,3/28/2025 18:04,3/28/2025 18:05,3/28/2025 18:10,31.0,3/28/2025 18:25,否,了解情况,内,3/28/2025 18:03
3/28/2025 17:50,浦东新区 洋泾街道 灵山路1415弄崮山小区二街坊36号301室厨房（误报）（到场未处置）,居民,陆家嘴大队（一大队）,洋泾街道,虚警,铜山站,居民家中烧菜时油烟过大，无着火情况,西塘家宅微站,3/28/2025 17:51,3/28/2025 17:52,3/28/2025 17:58,55.0,3/28/2025 18:03,否,警戒,,3/28/2025 17:51
3/28/2025 14:34,浦东新区 张江镇 张衡路（误报）（中途返队）,杂物,川沙大队（三大队）,张江镇,虚警,张江站,未发现着火冒烟情况,川杨新苑社区微站,3/28/2025 14:35,3/28/2025 14:35,3/28/2025 14:37,16.0,3/28/2025 14:41,否,了解情况,外,3/28/2025 14:35
3/28/2025 14:02,浦东新区 陆家嘴街道 崂山四村3号楼3单元401室（误报）（到场未处置）,居民,陆家嘴大队（一大队）,陆家嘴街道,虚警,梅园站,居民家中烧锅子,陆家嘴微站,3/28/2025 14:03,3/28/2025 14:04,3/28/2025 14:06,10.0,3/28/2025 14:06,否,了解情况,内,3/28/2025 14:02
3/28/2025 11:35,浦东新区 川沙新镇 吉灿路 鹿和雅苑2号7楼（祭扫）（误报）（到场未处置）,居民,川沙大队（三大队）,川沙新镇,虚警,六灶站,居民在楼道内烧祭祀品,六灶鹿城微站,3/28/2025 11:36,3/28/2025 11:36,3/28/2025 11:42,29.0,3/28/2025 11:39,否,了解情况,内,3/28/2025 11:35
3/28/2025 10:46,浦东新区 祝桥镇 施湾六路 靠近 闻居路（误报）（到场未处置）,车辆,惠南大队（八大队）,祝桥镇,虚警,江镇站,车辆防冻液爆掉产生的烟气,祝桥微站,3/28/2025 10:47,3/28/2025 10:49,3/28/2025 10:56,120.0,3/28/2025 10:58,否,了解情况,外,3/28/2025 10:47
3/28/2025 10:35,浦东新区 合庆镇 庆利路425弄(海湾新城)10号室外（祭扫）（居民处置）（到场未处置）,杂物,川沙大队（三大队）,合庆镇,实警,川沙站,居民在室外烧纸钱,跃丰微站,3/28/2025 10:37,3/28/2025 10:37,3/28/2025 10:40,28.0,3/28/2025 10:51,否,了解情况,外,3/28/2025 10:36
3/28/2025 10:33,浦东新区 张江镇 紫薇路193弄贝越佳园4号5楼楼道（祭扫）（经核实无需消防处置）（到场未处置）,居民,川沙大队（三大队）,张江镇,实警,张江站,居民楼道内烧祭祀,川杨新苑社区微站,3/28/2025 10:35,3/28/2025 10:35,3/28/2025 10:38,17.0,3/28/2025 10:40,否,了解情况,内,3/28/2025 10:34
3/28/2025 8:17,浦东新区 浦兴路街道 凌河路354弄东陆新村二街坊39号401室（祭扫）（居民处置）（到场未处置）,居民,外高桥大队（五大队）,浦兴路街道,实警,庆宁站,居民在家中烧祭祀,东陆路微站,3/28/2025 8:17,3/28/2025 8:19,3/28/2025 8:24,121.0,3/28/2025 8:37,否,警戒,内,3/28/2025 8:17
3/28/2025 7:47,浦东新区 南码头街道 东方路1881弄(东方城市花园)8号1202室（居民处置）（到场未处置）,居民,世博大队（七大队）,南码头路街道,实警,临沂站,喷火枪点燃灶台旁边的布,东方城市花园微站,3/28/2025 7:48,3/28/2025 7:48,3/28/2025 7:52,30.0,3/28/2025 8:01,否,了解情况,内,3/28/2025 7:48
3/28/2025 7:17,浦东新区 上钢新村街道 昌里路311弄（上钢三村）3号301室（祭扫）（居民处置）（到场未处置）,杂物,世博大队（七大队）,上钢新村街道,实警,周渡站,居民在家中烧纸钱,上钢六村微站,3/28/2025 7:18,3/28/2025 7:20,3/28/2025 7:23,118.0,3/28/2025 7:27,否,警戒,内,3/28/2025 7:18
3/27/2025 17:40,浦东新区 祝桥镇 晨阳西路150弄19号302室（凌港城）（误报）（到场处置）,居民,惠南大队（八大队）,祝桥镇,虚警,江镇站,居民家中烧锅子,祝桥专职队,3/27/2025 17:40,3/27/2025 17:40,3/27/2025 17:52,7.0,3/27/2025 17:49,否,了解情况,内,3/27/2025 17:40
3/27/2025 16:13,浦东新区 金杨新村街道 云山路839弄黄山新城小区43号1001室（其他社会力量处置）（到场未处置）,居民,陆家嘴大队（一大队）,金杨新村街道,实警,庆宁站,居民楼道内烧杂物,枣庄微站,3/27/2025 16:15,3/27/2025 16:15,3/27/2025 16:20,17.0,3/27/2025 16:23,否,了解情况,内,3/27/2025 16:13
3/27/2025 12:33,浦东新区 潍坊新村街道 浦电路 潍坊四村434号303室（居民处置）（到场未处置）,居民,陆家嘴大队（一大队）,潍坊新村街道,实警,铜山站,居民阳台照明灯短路冒烟,蓝村微站,3/27/2025 12:35,3/27/2025 12:35,3/27/2025 12:43,26.0,3/27/2025 12:41,否,警戒,内,3/27/2025 12:34
3/27/2025 12:05,浦东新区 合庆镇 庆利路425弄海湾新城68号1102室（误报）（到场未处置）,居民,川沙大队（三大队）,合庆镇,虚警,川沙站,居民家中烧锅子,合庆专职队,3/27/2025 12:06,3/27/2025 12:06,3/27/2025 12:08,22.0,3/27/2025 12:20,否,了解情况,内,3/27/2025 12:05
3/27/2025 11:23,浦东新区 上钢新村街道 德州路223弄德州一村6号502室（误报）（到场未处置）（祭祀）,居民,世博大队（七大队）,上钢新村街道,虚警,周渡站,现场是居民在楼道内烧纸钱,杨东微站,3/27/2025 11:24,3/27/2025 11:24,3/27/2025 11:33,12.0,3/27/2025 11:34,否,了解情况,内,3/27/2025 11:23
3/27/2025 11:08,浦东新区  三林镇 江耀路 靠近 钱家滩路（EB）（微站处置）（到场未处置）,车辆（电瓶车）,三林大队（六大队）,三林镇,实警,前滩站,室外1辆电瓶车起火,济阳三村微站,3/27/2025 11:09,3/27/2025 11:10,3/27/2025 11:12,39.0,3/27/2025 11:12,是,出水处置,外,3/27/2025 11:08
3/27/2025 10:38,浦东新区 陆家嘴街道 银城路167号 兴业银行楼顶（误报）（到场未处置）,单位,陆家嘴大队（一大队）,陆家嘴街道,虚警,铜山站,单位空调排气冒的烟，误报,明珠微站,3/27/2025 10:39,3/27/2025 10:42,3/27/2025 10:46,173.0,3/27/2025 10:44,否,了解情况,外,3/27/2025 10:39
3/27/2025 9:20,浦东新区 康桥镇 秀沿路靠近罗山南路公交站旁边（驻防车出动）（误报）（到场未处置）,电线,三林大队（六大队）,康桥镇,虚警,周浦站,路边广告牌有闪烁情况,橫沔微站,3/27/2025 9:21,3/27/2025 9:21,3/27/2025 9:28,20.0,3/27/2025 9:34,否,了解情况,外,3/27/2025 9:21
3/27/2025 8:16,浦东新区 北蔡镇 五星路154号 蘇小柳点心(驻防车出动)（九小—餐饮）（单位自处）（到场未处置）,单位,三林大队（六大队）,北蔡镇,实警,塘东站,门面店内油锅起火,六里（杨莲)微站,3/27/2025 8:19,3/27/2025 8:19,3/27/2025 8:32,46.0,3/27/2025 8:35,否,警戒,内,3/27/2025 8:17
3/27/2025 7:36,浦东新区 高东镇 赵高公路 靠近 洲海路 南面桥下（驻防车出动）（误报）（到场未处置）,电线,保税大队（四大队）,高东镇,虚警,保税站,电线杆有断裂的情况，无起火,欣连苑微站,3/27/2025 7:38,3/27/2025 7:39,3/27/2025 7:48,51.0,3/27/2025 7:59,否,了解情况,外,3/27/2025 7:37
